arrSize,subArrSize,min,max,mean,stdev
1000,100,92.000000,1904.000000,165.000000,218.094016
2000,100,402.000000,563.000000,425.000000,23.021729
3000,100,509.000000,659.000000,537.000000,26.832816
4000,100,620.000000,762.000000,654.000000,31.080541
5000,100,744.000000,949.000000,828.000000,36.276714
6000,100,849.000000,1035.000000,893.000000,39.102430
7000,100,1044.000000,1215.000000,1091.000000,31.032241
8000,100,1074.000000,1402.000000,1174.000000,84.581322
9000,100,1272.000000,1459.000000,1336.000000,34.161382
10000,100,1300.000000,1615.000000,1438.000000,82.298238
11000,100,1443.000000,1769.000000,1537.000000,39.912404
12000,100,1652.000000,1964.000000,1695.000000,40.249224
13000,100,1836.000000,2050.000000,1877.000000,32.046841
14000,100,1794.000000,2200.000000,1993.000000,100.747208
15000,100,1999.000000,2359.000000,2058.000000,45.088801
16000,100,2198.000000,2422.000000,2251.000000,35.383612
17000,100,2180.000000,2729.000000,2389.000000,97.159662
18000,100,2334.000000,2657.000000,2429.000000,43.931765
19000,100,2415.000000,2873.000000,2550.000000,79.025312
20000,100,2614.000000,2898.000000,2684.000000,46.797436
21000,100,2798.000000,3080.000000,2876.000000,45.299007
22000,100,2863.000000,3394.000000,3047.000000,93.802985
23000,100,3068.000000,3500.000000,3135.000000,50.199602
24000,100,3257.000000,3632.000000,3341.000000,54.083269
25000,100,3437.000000,3859.000000,3522.000000,55.686623
26000,100,3361.000000,3958.000000,3613.000000,115.438295
27000,100,3612.000000,4077.000000,3671.000000,55.027266
28000,100,3770.000000,4121.000000,3875.000000,49.537864
29000,100,3926.000000,4389.000000,4021.000000,56.409219
30000,100,3986.000000,4484.000000,4194.000000,113.048662
31000,100,4158.000000,4668.000000,4258.000000,65.153665
32000,100,4381.000000,4749.000000,4461.000000,52.497619
33000,100,4474.000000,5205.000000,4592.000000,85.223236
34000,100,4645.000000,5335.000000,4766.000000,75.418831
35000,100,4857.000000,5541.000000,4995.000000,120.174873
36000,100,4999.000000,5640.000000,5121.000000,73.905345
37000,100,4829.000000,6087.000000,5276.000000,137.952891
38000,100,5000.000000,5526.000000,5161.000000,61.163715
39000,100,5257.000000,6089.000000,5442.000000,136.040435
40000,100,5469.000000,6105.000000,5590.000000,77.025970
41000,100,5719.000000,6853.000000,5856.000000,118.198985
42000,100,5888.000000,6924.000000,6061.000000,142.520174
43000,100,6101.000000,6746.000000,6241.000000,90.260733
44000,100,6014.000000,7156.000000,6278.000000,209.420629
45000,100,6237.000000,6861.000000,6376.000000,110.625494
46000,100,6397.000000,6952.000000,6556.000000,102.083299
47000,100,6600.000000,7489.000000,6731.000000,104.785495
48000,100,6800.000000,7544.000000,6939.000000,102.401172
49000,100,6957.000000,8051.000000,7140.000000,143.052438
50000,100,6902.000000,8002.000000,7256.000000,146.184815
51000,100,7119.000000,7683.000000,7288.000000,82.843225
52000,100,7381.000000,8059.000000,7557.000000,130.545011
53000,100,7921.000000,9290.000000,8145.000000,163.682620
54000,100,8200.000000,8973.000000,8467.000000,135.462172
55000,100,8447.000000,8982.000000,8605.000000,90.642154
56000,100,8671.000000,9047.000000,8836.000000,85.492690
57000,100,8802.000000,9480.000000,9020.000000,128.199064
58000,100,9021.000000,9723.000000,9203.000000,115.969824
59000,100,9119.000000,10162.000000,9382.000000,170.537386
60000,100,9278.000000,9834.000000,9533.000000,118.050837
61000,100,9287.000000,10715.000000,9817.000000,176.771038
62000,100,9201.000000,10157.000000,9564.000000,129.456556
63000,100,9464.000000,10430.000000,9712.000000,151.865072
64000,100,9674.000000,10392.000000,9874.000000,109.425774
65000,100,9751.000000,10446.000000,10077.000000,128.553491
66000,100,9991.000000,10646.000000,10249.000000,124.165213
67000,100,10120.000000,11061.000000,10515.000000,173.280120
68000,100,10506.000000,11091.000000,10728.000000,109.931797
69000,100,10679.000000,11626.000000,10900.000000,122.306991
70000,100,10896.000000,11862.000000,11093.000000,120.494813
71000,100,10996.000000,12096.000000,11216.000000,144.758419
72000,100,11104.000000,11950.000000,11350.000000,146.249786
73000,100,10866.000000,13952.000000,11405.000000,419.729675
74000,100,10968.000000,14280.000000,11492.000000,356.760424
75000,100,11212.000000,12137.000000,11611.000000,202.672149
76000,100,11511.000000,12514.000000,11774.000000,144.031247
77000,100,11653.000000,12649.000000,11971.000000,155.405920
78000,100,11784.000000,12900.000000,12146.000000,177.050840
79000,100,11837.000000,13009.000000,12334.000000,167.758755
80000,100,12094.000000,13366.000000,12438.000000,178.115131
81000,100,12409.000000,13462.000000,12696.000000,139.674622
82000,100,12501.000000,14008.000000,12846.000000,184.358347
83000,100,12711.000000,14184.000000,13006.000000,177.144009
84000,100,12799.000000,14155.000000,13085.000000,160.763802
85000,100,12949.000000,14704.000000,13351.000000,255.522993
86000,100,13043.000000,14163.000000,13556.000000,162.677595
87000,100,13374.000000,14253.000000,13696.000000,142.028166
88000,100,13344.000000,14731.000000,13794.000000,199.654702
89000,100,13580.000000,14730.000000,13928.000000,164.802913
90000,100,13670.000000,15708.000000,14073.000000,208.312266
91000,100,13993.000000,15573.000000,14367.000000,194.882016
92000,100,14127.000000,16214.000000,14516.000000,309.901597
93000,100,14462.000000,16256.000000,14772.000000,206.513922
94000,100,14458.000000,16428.000000,14803.000000,235.282809
95000,100,14635.000000,16336.000000,15023.000000,204.039212
96000,100,14830.000000,16652.000000,15220.000000,202.299283
97000,100,15059.000000,16784.000000,15455.000000,199.764862
98000,100,15323.000000,17430.000000,15666.000000,234.064094
99000,100,15436.000000,17846.000000,15831.000000,256.370825
100000,100,15724.000000,17886.000000,16023.000000,244.616026
100000,100,15599.000000,17969.000000,16056.000000,297.023568
arrSize,subArrSize,min,max,mean,stdev
1000,100,95.000000,2811.000000,166.000000,293.163777
2000,100,200.000000,500.000000,321.000000,100.861291
3000,100,425.000000,612.000000,533.000000,27.202941
4000,100,621.000000,766.000000,656.000000,32.924155
5000,100,734.000000,979.000000,830.000000,37.549967
6000,100,846.000000,1040.000000,892.000000,41.060930
7000,100,1035.000000,1226.000000,1097.000000,29.732137
8000,100,1059.000000,1367.000000,1175.000000,88.130585
9000,100,1294.000000,1466.000000,1335.000000,27.712813
10000,100,1352.000000,1680.000000,1469.000000,67.096945
11000,100,1445.000000,1769.000000,1561.000000,41.388404
12000,100,1659.000000,1851.000000,1703.000000,30.935417
13000,100,1861.000000,2116.000000,1918.000000,41.303753
14000,100,1819.000000,2251.000000,2022.000000,101.252160
15000,100,2026.000000,2311.000000,2076.000000,37.802116
16000,100,2200.000000,2461.000000,2268.000000,47.265209
17000,100,2204.000000,2711.000000,2393.000000,101.503695
18000,100,2407.000000,2721.000000,2465.000000,41.231056
19000,100,2469.000000,3013.000000,2599.000000,87.097646
20000,100,2632.000000,2967.000000,2740.000000,58.455111
21000,100,2843.000000,3161.000000,2904.000000,42.673177
22000,100,2852.000000,3358.000000,3036.000000,94.551573
23000,100,3018.000000,3547.000000,3136.000000,55.181519
24000,100,3261.000000,3638.000000,3318.000000,43.863424
25000,100,3411.000000,3844.000000,3496.000000,48.528342
26000,100,3393.000000,3929.000000,3601.000000,91.071401
27000,100,3561.000000,4061.000000,3691.000000,68.651293
28000,100,3766.000000,4144.000000,3854.000000,49.446941
29000,100,3920.000000,4492.000000,4018.000000,66.121101
30000,100,3925.000000,4384.000000,4148.000000,113.639782
31000,100,4138.000000,4756.000000,4243.000000,70.554943
32000,100,4349.000000,4725.000000,4468.000000,67.282984
33000,100,4513.000000,5380.000000,4617.000000,92.119488
34000,100,4639.000000,5387.000000,4778.000000,84.923495
35000,100,4772.000000,5482.000000,4897.000000,122.906469
36000,100,4949.000000,6760.000000,5221.000000,274.878155
37000,100,4843.000000,7563.000000,5334.000000,314.828525
38000,100,5022.000000,5632.000000,5144.000000,69.115845
39000,100,5229.000000,5864.000000,5349.000000,79.686887
40000,100,5390.000000,6176.000000,5579.000000,124.016128
41000,100,5632.000000,6639.000000,5755.000000,107.582526
42000,100,5837.000000,6508.000000,5945.000000,76.131465
43000,100,5926.000000,6622.000000,6083.000000,106.985980
44000,100,5709.000000,7003.000000,6038.000000,257.258625
45000,100,5976.000000,6511.000000,6106.000000,77.142725
46000,100,6192.000000,6951.000000,6378.000000,109.590146
47000,100,6386.000000,7147.000000,6544.000000,118.781312
48000,100,6583.000000,7167.000000,6717.000000,80.230917
49000,100,6727.000000,7884.000000,6914.000000,120.469913
50000,100,6732.000000,7910.000000,7139.000000,180.011111
51000,100,6913.000000,7567.000000,7103.000000,85.070559
52000,100,7171.000000,7825.000000,7310.000000,87.022985
53000,100,7627.000000,8766.000000,7890.000000,153.189425
54000,100,8149.000000,8955.000000,8283.000000,97.092739
55000,100,8278.000000,8840.000000,8505.000000,112.734201
56000,100,8549.000000,9438.000000,8695.000000,112.004464
57000,100,8762.000000,9269.000000,8917.000000,85.486841
58000,100,8776.000000,9569.000000,9003.000000,169.047331
59000,100,8981.000000,9981.000000,9231.000000,148.151949
60000,100,9334.000000,9843.000000,9494.000000,106.164966
61000,100,8859.000000,10724.000000,9553.000000,188.698172
62000,100,9096.000000,10076.000000,9360.000000,153.944795
63000,100,9278.000000,10463.000000,9631.000000,162.218988
64000,100,9467.000000,10404.000000,9803.000000,152.243226
65000,100,9644.000000,10494.000000,9999.000000,144.485293
66000,100,9906.000000,10517.000000,10185.000000,128.980619
67000,100,10038.000000,10911.000000,10344.000000,124.382475
68000,100,10370.000000,11231.000000,10546.000000,116.589022
69000,100,10506.000000,11289.000000,10728.000000,113.419575
70000,100,10666.000000,11377.000000,10931.000000,102.742396
71000,100,10794.000000,12082.000000,11090.000000,164.784708
72000,100,10852.000000,12465.000000,11190.000000,198.083316
73000,100,10577.000000,12177.000000,11131.000000,298.939793
74000,100,10841.000000,11487.000000,11081.000000,132.075736
75000,100,10952.000000,11803.000000,11285.000000,120.826322
76000,100,11174.000000,12098.000000,11467.000000,159.445916
77000,100,11480.000000,12569.000000,11707.000000,149.308406
78000,100,11618.000000,12505.000000,11858.000000,132.215733
79000,100,11770.000000,12863.000000,11988.000000,128.809938
80000,100,11884.000000,13161.000000,12171.000000,169.393034
81000,100,12151.000000,13409.000000,12399.000000,178.555314
82000,100,12298.000000,13790.000000,12567.000000,162.785134
83000,100,12455.000000,14344.000000,12751.000000,205.268117
84000,100,12761.000000,14708.000000,13035.000000,251.073694
85000,100,12366.000000,14922.000000,12838.000000,343.304530
86000,100,12723.000000,13396.000000,13024.000000,134.495353
87000,100,12909.000000,14224.000000,13232.000000,160.421320
88000,100,13123.000000,14323.000000,13438.000000,192.805602
89000,100,13372.000000,15454.000000,13735.000000,242.097088
90000,100,13615.000000,15149.000000,14026.000000,186.394742
91000,100,13831.000000,18420.000000,14328.000000,600.267440
92000,100,14223.000000,15845.000000,14575.000000,217.591360
93000,100,13984.000000,15600.000000,14446.000000,212.139105
94000,100,14208.000000,16093.000000,14689.000000,209.456439
95000,100,14449.000000,16618.000000,14812.000000,264.051131
96000,100,14603.000000,16416.000000,14961.000000,241.087121
97000,100,15082.000000,17329.000000,15388.000000,319.377520
98000,100,14996.000000,17187.000000,15434.000000,258.172423
99000,100,15250.000000,17607.000000,15614.000000,245.855649
100000,100,15584.000000,17529.000000,15905.000000,206.927524
100000,100,15414.000000,17707.000000,15783.000000,268.739651
arrSize,subArrSize,min,max,mean,stdev
1000,100,354.000000,1194.000000,503.000000,98.737024
2000,100,527.000000,1058.000000,740.000000,196.933999
3000,100,630.000000,757.000000,663.000000,28.722813
4000,100,732.000000,887.000000,780.000000,31.811947
5000,100,854.000000,1076.000000,965.000000,48.805737
6000,100,966.000000,1183.000000,1013.000000,41.916584
7000,100,1185.000000,1358.000000,1226.000000,38.457769
8000,100,1186.000000,1489.000000,1304.000000,87.954534
9000,100,1414.000000,1587.000000,1461.000000,34.073450
10000,100,1468.000000,1790.000000,1585.000000,79.561297
11000,100,1585.000000,1894.000000,1688.000000,44.553339
12000,100,1787.000000,2001.000000,1852.000000,42.567593
13000,100,1977.000000,2211.000000,2027.000000,37.656341
14000,100,1945.000000,2318.000000,2153.000000,99.458534
15000,100,2156.000000,2581.000000,2236.000000,60.241182
16000,100,2326.000000,2572.000000,2414.000000,45.199558
17000,100,2348.000000,2779.000000,2521.000000,96.078093
18000,100,2524.000000,2807.000000,2590.000000,43.692105
19000,100,2604.000000,3045.000000,2737.000000,77.401550
20000,100,2785.000000,3135.000000,2873.000000,48.538644
21000,100,2953.000000,3413.000000,3032.000000,56.107041
22000,100,3012.000000,3434.000000,3169.000000,72.958893
23000,100,3194.000000,3725.000000,3296.000000,84.664042
24000,100,3346.000000,3713.000000,3447.000000,59.908263
25000,100,3483.000000,3988.000000,3611.000000,73.505102
26000,100,3526.000000,3990.000000,3745.000000,105.726061
27000,100,3732.000000,4099.000000,3828.000000,58.472216
28000,100,3853.000000,4208.000000,3967.000000,64.505814
29000,100,4026.000000,4537.000000,4146.000000,79.799749
30000,100,4019.000000,4622.000000,4264.000000,119.657846
31000,100,4265.000000,4723.000000,4365.000000,67.379522
32000,100,4391.000000,4820.000000,4524.000000,68.818602
33000,100,4603.000000,5181.000000,4745.000000,95.063137
34000,100,4854.000000,5510.000000,4966.000000,86.313383
35000,100,5003.000000,5929.000000,5131.000000,110.335851
36000,100,5195.000000,5880.000000,5301.000000,85.732141
37000,100,5126.000000,6560.000000,5507.000000,182.397917
38000,100,5297.000000,5936.000000,5436.000000,85.621259
39000,100,5420.000000,6206.000000,5612.000000,94.641429
40000,100,5683.000000,6374.000000,5824.000000,82.764727
41000,100,5836.000000,6757.000000,6052.000000,121.474277
42000,100,6023.000000,7053.000000,6229.000000,121.095004
43000,100,6180.000000,6775.000000,6337.000000,83.612200
44000,100,5966.000000,7272.000000,6353.000000,209.492243
45000,100,6269.000000,6966.000000,6429.000000,85.976741
46000,100,6477.000000,7344.000000,6608.000000,95.786220
47000,100,6666.000000,7798.000000,6829.000000,127.232071
48000,100,6849.000000,7689.000000,7019.000000,106.395489
49000,100,7068.000000,8224.000000,7243.000000,119.862421
50000,100,7105.000000,8498.000000,7661.000000,236.262566
51000,100,7637.000000,8287.000000,7888.000000,99.759711
52000,100,7907.000000,8268.000000,8071.000000,67.697858
53000,100,8102.000000,11433.000000,8594.000000,827.213394
54000,100,8288.000000,8845.000000,8509.000000,94.989473
55000,100,8572.000000,9208.000000,8730.000000,123.547562
56000,100,8619.000000,9264.000000,8840.000000,94.488094
57000,100,8883.000000,9869.000000,9047.000000,111.238483
58000,100,9018.000000,9903.000000,9257.000000,140.545366
59000,100,9257.000000,10270.000000,9452.000000,117.898261
60000,100,9420.000000,10165.000000,9673.000000,107.354553
61000,100,9309.000000,10791.000000,9797.000000,155.206314
62000,100,9366.000000,10039.000000,9568.000000,109.581020
63000,100,9609.000000,10335.000000,9793.000000,96.446877
64000,100,9748.000000,10610.000000,10000.000000,124.306074
65000,100,9881.000000,10805.000000,10167.000000,149.776500
66000,100,10285.000000,11423.000000,10521.000000,154.741720
67000,100,10236.000000,11497.000000,10493.000000,167.940466
68000,100,10404.000000,11568.000000,10649.000000,147.176764
69000,100,10651.000000,11541.000000,10848.000000,113.145923
70000,100,10860.000000,11798.000000,11098.000000,138.592929
71000,100,10852.000000,12360.000000,11294.000000,261.505258
72000,100,11134.000000,11851.000000,11324.000000,128.234161
73000,100,10819.000000,12647.000000,11271.000000,268.929359
74000,100,11098.000000,11703.000000,11334.000000,128.930214
75000,100,11193.000000,12204.000000,11532.000000,144.889613
76000,100,11330.000000,12341.000000,11608.000000,155.164429
77000,100,11566.000000,12353.000000,11838.000000,157.391232
78000,100,11643.000000,12846.000000,11984.000000,141.400141
79000,100,11942.000000,13351.000000,12202.000000,165.632122
80000,100,12189.000000,13151.000000,12409.000000,119.724684
81000,100,12341.000000,13597.000000,12637.000000,140.598720
82000,100,12623.000000,17634.000000,13028.000000,718.156668
83000,100,12710.000000,14212.000000,12948.000000,200.484413
84000,100,12847.000000,14238.000000,13124.000000,193.041446
85000,100,12412.000000,14669.000000,13072.000000,300.850461
86000,100,12935.000000,13534.000000,13250.000000,124.289984
87000,100,13141.000000,17203.000000,13601.000000,543.371880
88000,100,13692.000000,14771.000000,13912.000000,142.954538
89000,100,13530.000000,15134.000000,13859.000000,226.702448
90000,100,13700.000000,15376.000000,13991.000000,192.883384
91000,100,13833.000000,15410.000000,14125.000000,182.666363
92000,100,14071.000000,15549.000000,14347.000000,196.601119
93000,100,14239.000000,16023.000000,14502.000000,226.625241
94000,100,14376.000000,18685.000000,14705.000000,442.054295
95000,100,14634.000000,16304.000000,14894.000000,193.383040
96000,100,14780.000000,16655.000000,15117.000000,220.746461
97000,100,15038.000000,16637.000000,15429.000000,178.193715
98000,100,15331.000000,16905.000000,15569.000000,167.693172
99000,100,15460.000000,20034.000000,15785.000000,483.014493
100000,100,15570.000000,19605.000000,16010.000000,431.824038
100000,100,15616.000000,17976.000000,16093.000000,284.805197
